date,temp_c,rain_mm,humidity,wind_speed,district,lat,lon
2014-01-01,24.7,0.0,66,22.7,Chennai,13.0827,80.2707
2014-01-02,25.0,0.0,63,22.2,Chennai,13.0827,80.2707
2014-01-03,25.2,0.0,68,24.4,Chennai,13.0827,80.2707
2014-01-04,24.2,0.0,73,21.8,Chennai,13.0827,80.2707
2014-01-05,24.6,0.0,74,18.8,Chennai,13.0827,80.2707
2014-01-06,24.4,0.0,75,18.8,Chennai,13.0827,80.2707
2014-01-07,24.8,0.0,70,20.9,Chennai,13.0827,80.2707
2014-01-08,25.2,0.0,65,21.0,Chennai,13.0827,80.2707
2014-01-09,24.8,0.0,72,17.9,Chennai,13.0827,80.2707
2014-01-10,24.1,0.0,75,15.5,Chennai,13.0827,80.2707
2014-01-11,24.1,0.0,72,11.8,Chennai,13.0827,80.2707
2014-01-12,23.6,0.0,75,14.6,Chennai,13.0827,80.2707
2014-01-13,24.5,0.0,73,19.6,Chennai,13.0827,80.2707
2014-01-14,24.5,0.0,74,16.3,Chennai,13.0827,80.2707
2014-01-15,24.7,0.0,72,14.4,Chennai,13.0827,80.2707
2014-01-16,25.0,0.0,72,15.9,Chennai,13.0827,80.2707
2014-01-17,24.6,0.0,73,17.8,Chennai,13.0827,80.2707
2014-01-18,24.5,0.0,67,15.7,Chennai,13.0827,80.2707
2014-01-19,24.3,1.5,80,18.8,Chennai,13.0827,80.2707
2014-01-20,25.0,0.0,73,21.7,Chennai,13.0827,80.2707
2014-01-21,25.1,0.0,66,22.0,Chennai,13.0827,80.2707
2014-01-22,25.1,0.0,62,19.7,Chennai,13.0827,80.2707
2014-01-23,24.5,0.0,67,17.4,Chennai,13.0827,80.2707
2014-01-24,23.9,0.0,72,16.0,Chennai,13.0827,80.2707
2014-01-25,24.8,0.0,65,18.2,Chennai,13.0827,80.2707
2014-01-26,24.8,0.0,65,23.4,Chennai,13.0827,80.2707
2014-01-27,25.7,0.0,59,21.7,Chennai,13.0827,80.2707
2014-01-28,25.2,0.0,61,22.5,Chennai,13.0827,80.2707
2014-01-29,24.6,0.0,66,22.7,Chennai,13.0827,80.2707
2014-01-30,24.5,0.0,65,22.6,Chennai,13.0827,80.2707
2014-01-31,24.5,0.0,73,19.6,Chennai,13.0827,80.2707
2014-02-01,24.6,1.3,79,19.7,Chennai,13.0827,80.2707
2014-02-02,24.9,0.0,73,18.4,Chennai,13.0827,80.2707
2014-02-03,24.1,0.0,72,12.6,Chennai,13.0827,80.2707
